5,-175,0,120,0,0,0
6,-175,0,90,0,0,0
7,-175,0,60,0,0,0
8,-175,0,30,0,0,0
9,-175,0,10,0,0,0
5,-175,0,-20,0,0,0
6,-175,0,-50,0,0,0
7,-175,0,-80,0,0,0
8,-175,0,-110,0,0,0
9,-175,0,-130,0,0,0
5,175,0,120,0,0,0
6,175,0,90,0,0,0
7,175,0,60,0,0,0
8,175,0,30,0,0,0
9,175,0,10,0,0,0
5,175,0,-20,0,0,0
6,175,0,-50,0,0,0
7,175,0,-80,0,0,0
8,175,0,-110,0,0,0
9,175,0,-130,0,0,0
6,-175,0,160,0,0,0
7,-135,0,160,0,0,0
6,-95,0,160,0,0,0
7,-55,0,160,0,0,0
7,50,0,160,0,0,0
6,90,0,160,0,0,0
7,130,0,160,0,0,0
6,170,0,160,0,0,0
11,-55,0,-100,0,90,0
11,-5,0,-100,0,90,0
10,25,0,-100,0,90,0
10,35,0,-100,0,90,0
10,45,0,-100,0,90,0
10,-95,0,100,0,90,0
10,-85,0,100,0,90,0
10,-75,0,100,0,90,0
11,-45,0,100,0,90,0
11,5,0,100,0,90,0
11,25,0,50,0,90,0
11,-25,0,0,0,90,0
2,0,0,-125,0,0,0
2,-15,0,-114,0,0,0
2,-10,0,-130,0,0,0
2,10,0,-140,0,0,0
2,15,0,-121,0,0,0
2,-114,0,-65,0,0,0
2,-120,0,-55,0,0,0
2,-105,0,-55,0,0,0
2,-93,0,-63,0,0,0
2,-85,0,-53,0,0,0
2,-103,0,-70,0,0,0
2,-73,0,-70,0,0,0
3,-125,0,25,0,0,0
3,-100,0,50,0,-40,0
3,-75,0,10,0,45,0
11,50,0,-75,0,0,0
11,50,0,-25,0,0,0
11,50,0,25,0,0,0
11,50,0,75,0,0,0
